//	object	handle	skill_ID	event1	event2	event3	blank	folder	filename	volume	description1		
//	아이템, UI												
	ITEM	SND_EQUIP	-	SWORD	-	-	0	ui\	itSword.wav	80	한손검 장착음		
	ITEM	SND_EQUIP	-	BLADE	-	-	0	ui\	itSword.wav	80	한손도 장착음		
	ITEM	SND_EQUIP	-	SPEAR	-	-	0	ui\	itSpear.wav	80	창, 대도 장착음		
	ITEM	SND_EQUIP	-	BOW	-	-	0	ui\	itBow.wav	80	활 장착음		
	ITEM	SND_EQUIP	-	TSWORD	-	-	0	ui\	itTSword.wav	80	양손검 장착음		
	ITEM	SND_EQUIP	-	TBLADE	-	-	0	ui\	itTSword.wav	80	두손 블레이드 장착음		
	ITEM	SND_EQUIP	-	DUELAXE	-	-	0	ui\	itAxe.wav	80	도끼 장착음		
	ITEM	SND_EQUIP	-	DAGGER	-	-	0	ui\	itChakram.wav	80	단검 장착음		
	ITEM	SND_EQUIP	-	CROSSBOW	-	-	0	ui\	itBow.wav	80	크로스보우 장착음		
	ITEM	SND_EQUIP	-	WAND	-	-	0	ui\	itBow.wav	80	한손지팡이,완드 장착음		
	ITEM	SND_EQUIP	-	STAFF	-	-	0	ui\	itStaff.wav	80	지팡이류 장착음		
	ITEM	SND_EQUIP	-	HARP	-	-	0	ui\	itStaff.wav	80	하프 장착음		
	ITEM	SND_EQUIP	-	QUIVER	-	-	0	ui\	itQuiver.wav	80	화살, 볼트 장착음		
	ITEM	SND_EQUIP	-	SHIELD	-	-	0	ui\	itShield.wav	80	방패 장착음		
												
	ITEM	SND_EQUIP	-	HELM	-	-	0	ui\	itHelm.wav	80	투구(갑옷) 장착음	
	ITEM	SND_EQUIP	-	BREASTPLATE	-	-	0	ui\	itBreastPlate.wav	80	상갑(갑옷) 장착음	
	ITEM	SND_EQUIP	-	CUISSE	-	-	0	ui\	itCuisse.wav	80	하갑(갑옷) 장착음	
	ITEM	SND_EQUIP	-	PAULDRONS	-	-	0	ui\	itPauldron.wav	80	견갑(갑옷) 장착음	
	ITEM	SND_EQUIP	-	GAUNTLET	-	-	0	ui\	itGauntlet.wav	80	건틀릿(갑옷) 장착음	
	ITEM	SND_EQUIP	-	GREAVE	-	-	0	ui\	itGreave.wav	80	신발(갑옷) 장착음	
												
	ITEM	SND_EQUIP	-	CAP	-	-	0	ui\	itCap.wav	80	모자(의복) 장착음	
	ITEM	SND_EQUIP	-	ROBE	-	-	0	ui\	itRobe.wav	80	의복상의(의복) 장착음	
	ITEM	SND_EQUIP	-	GLOVES	-	-	0	ui\	itGlove.wav	80	어깨(의복) 장착음	
	ITEM	SND_EQUIP	-	SHOES	-	-	0	ui\	itShoes.wav	80	신발(의복) 장착음	
												
	ITEM	SND_EQUIP	-	TRADER	-	-	0	ui\	itShoes.wav	80	상인의상 장착음	
	ITEM	SND_EQUIP	-	THIEF	-	-	0	ui\	itRobe.wav	80	도적의상 장착음	
	ITEM	SND_EQUIP	-	HUNTER	-	-	0	ui\	itGauntlet.wav	80	헌터의상 장착음	
	ITEM	SND_EQUIP	-	RING	-	-	0	ui\	itRing.wav	80	링 장착음		
	ITEM	SND_EQUIP	-	NECKLACE	-	-	0	ui\	itRing.wav	80	목걸이 장착음		
	ITEM	SND_EQUIP	-	EARRING	-	-	0	ui\	itRing.wav	80	귀걸이 장착음		
	ITEM	SND_EQUIP	-	MOBPIECE	-	-	0	ui\	itMonsterPiece.wav	80	몬스터 부산물 장착음		
	ITEM	SND_EQUIP	-	TABLET	-	-	0	ui\	itTablet.wav	80	석판 장착음		
	ITEM	SND_EQUIP	-	SCROLL	-	-	0	ui\	itScroll.wav	80	스크롤 장착음		
	ITEM	SND_EQUIP	-	HERB	-	-	0	ui\	itHub.wav	80	허브 장착음		
